id,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
773745,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,773745,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773746,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,773746,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773747,1,Schleswig-Holstein,SK Kiel,A15-A34,M,3,0,773747,2020-04-01T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773748,1,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,773748,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773749,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,773749,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773750,1,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,773750,2020-04-04T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",1,-9
773751,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773751,2020-03-10T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773752,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773752,2020-03-12T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773753,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,773753,2020-03-16T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773754,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773754,2020-03-17T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773755,1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,773755,2020-03-18T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773756,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,773756,2020-03-19T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773757,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773757,2020-03-20T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773758,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773758,2020-03-22T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773759,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,773759,2020-03-23T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773760,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773760,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773761,1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,773761,2020-03-26T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773762,1,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,773762,2020-03-27T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773763,1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,773763,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773764,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773764,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773765,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773765,2020-03-31T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773766,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773766,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773767,1,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,773767,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773768,1,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,773768,2020-04-04T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",1,-9
773769,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773769,2020-03-11T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773770,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773770,2020-03-12T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773771,1,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,773771,2020-03-19T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773772,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773772,2020-03-21T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773773,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773773,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773774,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773774,2020-03-25T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773775,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773775,2020-03-26T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773776,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773776,2020-03-27T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773777,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773777,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773778,1,Schleswig-Holstein,SK Kiel,A35-A59,M,2,0,773778,2020-03-30T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773779,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773779,2020-03-31T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773780,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773780,2020-04-01T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773781,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773781,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773782,1,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,773782,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773783,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773783,2020-03-10T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773784,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773784,2020-03-11T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773785,1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,773785,2020-03-12T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773786,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773786,2020-03-16T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773787,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773787,2020-03-17T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773788,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773788,2020-03-18T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773789,1,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,773789,2020-03-19T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773790,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773790,2020-03-23T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773791,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773791,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773792,1,Schleswig-Holstein,SK Kiel,A35-A59,W,3,0,773792,2020-03-25T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773793,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773793,2020-03-26T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773794,1,Schleswig-Holstein,SK Kiel,A35-A59,W,3,0,773794,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773795,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773795,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773796,1,Schleswig-Holstein,SK Kiel,A35-A59,W,3,0,773796,2020-03-30T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773797,1,Schleswig-Holstein,SK Kiel,A35-A59,W,5,0,773797,2020-04-01T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773798,1,Schleswig-Holstein,SK Kiel,A35-A59,W,4,0,773798,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773799,1,Schleswig-Holstein,SK Kiel,A35-A59,W,4,0,773799,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773800,1,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,773800,2020-04-04T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",1,-9
773801,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773801,2020-03-19T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773802,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773802,2020-03-20T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773803,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773803,2020-03-22T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773804,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,1,773804,2020-03-23T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,0
773805,1,Schleswig-Holstein,SK Kiel,A60-A79,M,2,0,773805,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773806,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773806,2020-03-25T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773807,1,Schleswig-Holstein,SK Kiel,A60-A79,M,3,0,773807,2020-03-27T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773808,1,Schleswig-Holstein,SK Kiel,A60-A79,M,2,0,773808,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773809,1,Schleswig-Holstein,SK Kiel,A60-A79,M,3,0,773809,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773810,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773810,2020-03-30T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773811,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773811,2020-03-31T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773812,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773812,2020-04-01T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
